"Id","contexte_travail","fonction_recherche","statut_professionnel","statut_professionnel_Autre","annee_premiere_publi","Systeme_exploitation","Usage_telephone_mobile","Outils_gestion_travail_av_confinement_visioconférence","Outils_gestion_travail_av_confinement_planification_RDV","Outils_gestion_travail_av_confinement_gestion_temps","Outils_gestion_travail_av_confinement_métier_interne_entreprise","Outils_gestion_travail_av_confinement_planification_suivi_taches_gestion_projet","Outils_gestion_travail_av_confinement_services_ligne","Outils_gestion_travail_av_confinement_redaction_collectif","Outils_gestion_travail_av_confinement_gestion_references","Outils_gestion_travail_suite_confinement_visioconference","Outils_gestion_travail_suite_confinement_planification_RDV","Outils_gestion_travail_suite_confinement_gestion_temps","Outils_gestion_travail_suite_confinement_metier_interne_entreprise","Outils_gestion_travail_suite_confinement_planification_suivi_taches_gestion_projet","Outils_gestion_travail_suite_confinement_services_ligne","Outils_gestion_travail_suite_confinement_redaction_collectifs","Outils_gestion_travail_suite_confinement_gestion_references","Acces_informations_recherches_instititionnel","Acces_informations_recherches_moteur_recherche_generalistes","Acces_informations_recherches_moteur_recherche_scientifiques","Acces_informations_recherches_pay_per_view","Acces_informations_recherches_entrepot_donnees","Acces_informations_recherches_reseaux_numeriques_academiques","Acces_informations_recherches_archives_ouvertes","Acces_informations_recherches_bibliotheques_numeriques","Acces_informations_recherches_demandes_web","Acces_informations_recherches_extensions_navigateur","Acces_informations_recherches_bibliotheques_clandestines","Acces_informations_recherches_demande_auteurs","decouverte_outils_num_travail","type_donnees_nombres_valeurs_numeriques","type_donnees_textes","type_donnees_images","type_donnees_videos","type_donnees_ 3D","type_donnees_sons","volumetrie_donnees","Reutilisation_donnees","Archive_long_terme","tiers_archivage","Tiers_archivage_recod","crowdsourcing","outils_sauvegarde_carnets_papier","Outils_sauvegarde_carnets_numeriques","Outils_sauvegarde_base_donnees_labo","Outils_sauvegarde_supports_amovibles","Outils_sauvegarde_reseau_informatique_local","Outils_sauvegarde_disque_dur","Outils_sauvegarde_cloud_institutionnel","Outils_sauvegarde_cloud_non-institutionnel","logiciel_production_donnees","types_logiciels_production_donnees","Usage_outils_nettoyage","outils_nettoyage","Usage_outils_analyse","Outils_analyses","Usage_outils_visualisation","Outils_visualisation","usage_outils_systemes_qualif_donnees","Outils_redaction_documents_traitement_texte","Outils_redaction_documents_traitement_texte_ligne","Outils_redaction_documents_editeur_Latex","Outils_redaction_documents_balisage","Outils_redaction_documents_aide_redaction","Outils_redaction_documents_formats_specifiques","Outils_redaction_documents_gestionnaire_references","Outils_redaction_documents_traduction","Outils_redaction_documents_PAO","outils_production_figure","Formats_presentation_resultats_recherche_communication","Formats_presentation_resultats_recherche_articles_evaluation_pairs","Formats_presentation_resultats_recherche_articles_sans_evaluation_pairs","Formats_presentation_resultats_recherche_chapitre_ouvrage","Formats_presentation_resultats_recherche_presse","Formats_presentation_resultats_recherche_document_interne","Formats_presentation_resultats_recherche_reseaux_sociaux","Formats_presentation_resultats_recherche_livre","Formats_presentation_resultats_recherche_billet_web","Formats_presentation_resultats_recherche_billet_blog_personnel","Formats_presentation_resultats_recherche_autre","criteres_soumission_publi","Pre-print_non_evalues_platerforme_not_for_profit","Pre-print_non_evalues_reseaux-sociaux-num_academiques","Pre-print_non_evalues_site_web_personnel","Diffusion_donnees_produites_complement_plateforme_editeur","Diffusion_donnees_produites_article_donnees","Diffusion_donnees_produites_entrepots_generalistes","Diffusion_donnees_produites_entrepot_disciplinaire","Diffusion_donnees_produites_résultats_négatifs","Diffusion_autres_types_production_projet_recherche","Diffusion_autres_types_production_grant_proposals","Diffusion_autres_types_production_protocoles","Diffusion_autres_types_production_notebook","Diffusion_autres_types_production_codes","Diffusion_autres_types_production_prorotypes","Diffusion_autres_types_production_rapports","Diffusion_autres_types_production_materiels_accompagnement","Diffusion_autres_types_production_posters","Diffusion_publications_evaluees_pairs_archives_ouvertes","Diffusion_publications_evaluees_pairs_entrepots_generalistes","Diffusion_publications_evaluees_pairs_reseaux_sociaux_num_academiques","Valorisation_recherche_referencement","Valorisation_recherche_reseaux_sociaux_num_generalistes","Valorisation_recherche_reseaux_sociaux_num_academiques","Valorisation_recherche_presence_num","Valorisation_recherche_multimédia","Valorisation_recherche_media_ligne","Valorisation_recherche_sciences_citoyennes","Valorisation_recherche_transfert_technologie","Valorisation_recherche_conferences","Valorisation_recherche_hackatons","plateforme_evaluation_ouverte","quelles_plateforme_ouverte","Souhait_partage_donnees_produites-partenariat","Souhait_partage_donnees_produites_discipline","Souhait_partage_donnees_produites_pays_continent","Souhait_partage_donnees_produites_domaine_economique","Souhait_partage_donnees_produites_secteur_associatif","Souhait_partage_donnees_produites_sans_restriction","compatibilite_diffusion_partage","evolutions_pratiques_numeriques","sexe","disciplines_9niv","annee_de_naissance-recod10niv"
532,"je travaille seul","doctorant / doctorante (y compris CIFRE)","en CDI",,"2018","Windows;Linux","parfois","jamais","parfois","jamais","toujours","jamais","rarement","rarement","souvent","souvent","rarement","jamais","toujours","jamais","rarement","rarement","souvent","jamais","parfois","jamais","jamais","jamais","jamais","rarement","jamais","jamais","jamais","jamais","jamais","par des collègues, des amis;par mon institution, mon entreprise","jamais","jamais","jamais","jamais","jamais","jamais","0","souvent","oui","personne","Aucun tiers","non","rarement","toujours","jamais","toujours","jamais","toujours","jamais","toujours","Word  libre office","des logiciels libres et gratuits;des logiciels payants","parfois","Avast","jamais",,"jamais",,"jamais","toujours","jamais","jamais","jamais","jamais","jamais","souvent","jamais","jamais",,"parfois","jamais","jamais","rarement","jamais","rarement","jamais","jamais","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline","jamais","jamais","jamais","rarement","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","non","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","parfois","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","non","oui","oui","Oui","Oui un peu plus importantes","un homme","Sciences humaines","56 à 60 ans"
533,"nous sommes entre 2 et 5 personnes","doctorant / doctorante (y compris CIFRE)","fonctionnaire ou assimilé",,"2013","Windows;MacOS","rarement","jamais","souvent","jamais","souvent","jamais","jamais","jamais","souvent","souvent","souvent","jamais","souvent","jamais","jamais","jamais","souvent","souvent","souvent","souvent","jamais","jamais","jamais","souvent","jamais","jamais","jamais","jamais","rarement","par mon institution, mon entreprise;au cours d'une formation","jamais","souvent","rarement","jamais","jamais","jamais","nsp","jamais","non",,,"non","souvent","souvent","jamais","souvent","jamais","souvent","jamais","souvent","AUCUN","des logiciels libres et gratuits","jamais",,"jamais",,"jamais",,"jamais","souvent","jamais","jamais","jamais","jamais","jamais","souvent","jamais","jamais","EXCEL","parfois","parfois","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…)","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","non","jamais","jamais","jamais","rarement","jamais","jamais","jamais","jamais","jamais","jamais","jamais","souvent","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","non","oui","oui","OUI","oui, utilisation plus importante des outils de visio-conférences","une femme","Médecine","36 à 40 ans"
534,"nous sommes entre 2 et 5 personnes","maître / maîtresse de conférences et assimilés","fonctionnaire ou assimilé",,"2000","Windows","souvent","rarement","souvent","jamais","jamais","jamais","parfois","jamais","toujours","souvent","souvent","jamais","jamais","jamais","parfois","parfois","toujours","toujours","toujours","rarement","jamais","jamais","parfois","souvent","parfois","jamais","parfois","souvent","parfois","par des collègues, des amis;par mon institution, mon entreprise;au cours d'une formation;en cherchant par moi-même","toujours","rarement","souvent","rarement","rarement","jamais","50-100 fichiers excel env.","parfois","oui","Bibliothèque du laboratoire (cahier de labo papier)","mon laboratoire/équipe de recherche","non","toujours","souvent","jamais","souvent","jamais","toujours","toujours","rarement","Logiciel propriétaire d’appareillage scientifiques.
Logiciels spécialisés du domaine Chimie/biochimie (Dynafit, Pymol, Mestrec, ImageJ, ChemDraw, Chemsketch)","des logiciels payants;des logiciels gratuits avec des fonctionnalités premium;des logiciels libres et gratuits","rarement","nettoyage manuel
Macro excel","toujours","Traitement des données: Excel, Sigma Plot, Magic plot (le plus courant et au quotidien)
Logiciels spécialisés du domaine Chimie/biochimie (Dynafit, Pymol, Mestrec, ImageJ, ChemDraw, Chemsketch...)
Serveur en ligne d'outils spécialisés (voir sur expasy.org par exemple...)","toujours","Tableur type: Excel, Sigma Plot, Magic plot
Logiciel de visualisation moléculaire: ChemDraw, Pymol, samson-connect
Logiciel de dessin vectoriel: Adobe Illustrator","jamais","toujours","jamais","jamais","jamais","jamais","jamais","toujours","souvent","toujours","Adobe Illustrator
Adobe Photoshop","toujours","toujours","jamais","parfois","jamais","parfois","jamais","jamais","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);frais de publications (Article Processing Charges);refus des revues prédatrices","jamais","jamais","jamais","jamais","jamais","jamais","rarement","jamais","non","non","non","non","non","non","non","non","non","toujours","jamais","rarement","souvent","jamais","souvent","jamais","jamais","jamais","jamais","parfois","toujours","jamais","oui, j'en ai entendu parler","pre-registering (PLOS, OSF, AsPredicted...);outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","oui","oui","non","non","non","Non pour des questions de brevetabilité dans un premier temps.","Oui probablement en allant vers les cahiers de labo numérique et tenter de communiquer plus en dehors du champs disciplinaire","une femme","Sciences du vivant","41 à 45 ans"
535,"nous sommes entre 2 et 5 personnes","professeur / professeure des universités et assimilés","fonctionnaire ou assimilé",,"1994","Linux","jamais","rarement","souvent","jamais","jamais","jamais","rarement","parfois","parfois","souvent","souvent","jamais","jamais","jamais","rarement","parfois","parfois","rarement","parfois","souvent","jamais","jamais","jamais","parfois","jamais","jamais","jamais","jamais","jamais","en cherchant par moi-même","parfois","jamais","jamais","jamais","jamais","jamais","Je ne sais pas l'évaluer","rarement","oui","sauvegarde laboratoire","mon laboratoire/équipe de recherche","non","jamais","jamais","jamais","rarement","parfois","rarement","jamais","jamais","Mathematica, langage C, Python","des logiciels libres et gratuits;des logiciels payants","rarement","awk","rarement","Mathematica, Excel","rarement","gnuplot, Mathematica","jamais","jamais","jamais","toujours","jamais","jamais","rarement","jamais","jamais","rarement","xfig","parfois","souvent","jamais","jamais","jamais","rarement","jamais","jamais","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline","toujours","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","non","toujours","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","parfois","jamais","non, je ne sais pas ce que c'est",,"oui","non","non","non","non","non","oui","non","un homme","Physique, Sciences de la terre et de l'Univers","51 à 55 ans"
536,"nous sommes entre 6 et 10 personnes","ingénieur / ingénieure de recherche","fonctionnaire ou assimilé",,"1994","Windows","jamais","souvent","toujours","jamais","parfois","rarement","rarement","rarement","toujours","souvent","toujours","jamais","parfois","rarement","rarement","rarement","toujours","toujours","souvent","toujours","jamais","jamais","souvent","souvent","jamais","jamais","jamais","jamais","rarement","par des collègues, des amis;par mon institution, mon entreprise","parfois","toujours","rarement","rarement","jamais","jamais","Je ne sais pas l'évaluer","jamais","oui","Mon laboratoire","mon laboratoire/équipe de recherche","non","jamais","jamais","jamais","parfois","toujours","toujours","jamais","parfois","Iramuteq","des logiciels libres et gratuits","jamais",,"jamais",,"toujours","Iramuteq","jamais","toujours","rarement","rarement","jamais","jamais","jamais","toujours","souvent","jamais","Powerpoint
Visio","toujours","toujours","rarement","parfois","rarement","rarement","jamais","rarement","jamais","jamais","jamais","indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);notoriété de la revue, de l'éditeur, du congrès dans ma discipline;transparence du processus d'évaluation;frais de publications (Article Processing Charges)","souvent","souvent","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","oui","non","non","oui","non","oui","souvent","jamais","souvent","jamais","jamais","souvent","souvent","jamais","jamais","jamais","rarement","souvent","jamais","oui, j'en ai entendu parler","outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","oui","oui","oui","oui","oui","Oui",,"une femme","Mathématiques, Informatiques","51 à 55 ans"
537,"nous sommes entre 11 et 20 personnes","ingénieur / ingénieure d'études","fonctionnaire ou assimilé",,"1992","Windows;MacOS","rarement","parfois","souvent","jamais","jamais","jamais","souvent","souvent","souvent","souvent","souvent","jamais","jamais","jamais","souvent","souvent","souvent","souvent","souvent","souvent","jamais","jamais","souvent","souvent","parfois","rarement","jamais","parfois","souvent","par des collègues, des amis;via les réseaux sociaux numériques (Twitter...);par une veille sur ces questions;en cherchant par moi-même","souvent","souvent","souvent","rarement","parfois","jamais","> 1 TO (TB)","jamais","oui","équipe","membres de l'équipe de recherche","non","souvent","jamais","parfois","souvent","souvent","toujours","souvent","souvent","Zen, ImageJ, SigmaPlot, Data Analysis (Brucker) etc","des logiciels payants;des logiciels libres et gratuits;des logiciels version d'essai ou démo;des logiciels créés à cette fin (seul ou avec des collègues)","jamais",,"jamais",,"souvent","ImageJ","jamais","souvent","jamais","jamais","jamais","jamais","jamais","souvent","souvent","souvent",,"souvent","souvent","jamais","rarement","jamais","souvent","souvent","jamais","jamais","jamais","jamais","diffusion en accès libre (choix personnel);notoriété de la revue, de l'éditeur, du congrès dans ma discipline;indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);frais de publications (Article Processing Charges)","jamais","jamais","jamais","rarement","parfois","jamais","jamais","jamais","non","non","non","non","non","non","non","non","oui","parfois","jamais","souvent","jamais","jamais","rarement","rarement","jamais","jamais","jamais","jamais","jamais","jamais","oui, j'en ai entendu parler","pre-registering (PLOS, OSF, AsPredicted...);outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","oui","oui","oui","oui","oui","oui","oui","un homme","Sciences du vivant","51 à 55 ans"
538,"nous sommes entre 21 et 50 personnes","ingénieur / ingénieure de recherche","en CDI",,"1999","Windows;Linux;autres Unix","rarement","souvent","toujours","jamais","souvent","souvent","jamais","jamais","parfois","toujours","toujours","jamais","souvent","souvent","jamais","jamais","parfois","toujours","toujours","toujours","jamais","jamais","toujours","souvent","rarement","jamais","jamais","jamais","parfois","par des collègues, des amis;par mon institution, mon entreprise;en cherchant par moi-même","souvent","souvent","souvent","jamais","jamais","rarement","de 1 Go (GB) à 20 GO (GB)","souvent","oui","service informatique et archivage interne","Institution","non","toujours","toujours","parfois","souvent","toujours","toujours","jamais","jamais","office
matlab
codes python et c++
codes maison","des logiciels payants;des logiciels partiellement ou complètement gratuits mais propriétaires;des logiciels créés à cette fin (seul ou avec des collègues);des logiciels internes à mon organisation;des logiciels issus d'un projet de recherche","jamais",,"jamais",,"toujours","office
matlab
Root","jamais","toujours","jamais","rarement","jamais","jamais","jamais","rarement","souvent","jamais","office, matlab, scylab","souvent","souvent","jamais","parfois","jamais","toujours","jamais","parfois","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;critères HCERES, FNGE, CNRS, CNU…;indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…)","jamais","jamais","jamais","jamais","parfois","jamais","jamais","jamais","non","non","non","non","non","non","oui","non","oui","souvent","jamais","souvent","parfois","jamais","souvent","parfois","jamais","jamais","jamais","jamais","souvent","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","oui","oui","non","cela dépend des domaines ( gestion dela pi)","aucune idée","une femme","Science de l'ingénieur","46 à 50 ans"
539,"nous sommes entre 2 et 5 personnes","doctorant / doctorante (y compris CIFRE)","en CDI",,"2017","Windows;MacOS","rarement","rarement","souvent","jamais","jamais","jamais","parfois","parfois","souvent","souvent","souvent","parfois","souvent","jamais","souvent","souvent","toujours","souvent","toujours","souvent","jamais","jamais","toujours","souvent","parfois","jamais","jamais","jamais","souvent","par des collègues, des amis;par mon institution, mon entreprise;par une veille sur ces questions;en cherchant par moi-même","parfois","souvent","rarement","parfois","jamais","parfois","Je ne sais pas l'évaluer","souvent","non",,,"non","rarement","rarement","jamais","souvent","souvent","souvent","jamais","souvent","prise de vidéo sur iPad, transcription de l'audio dans word...","des logiciels payants;des logiciels partiellement ou complètement gratuits mais propriétaires","jamais",,"parfois","iramuteq","parfois",,"jamais","toujours","parfois","jamais","jamais","jamais","jamais","souvent","jamais","jamais","Word Excel","parfois","parfois","parfois","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline","jamais","souvent","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","oui","toujours","jamais","souvent","jamais","jamais","souvent","parfois","jamais","jamais","jamais","jamais","jamais","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","non","oui","non","oui",,"un homme","Sciences sociales","36 à 40 ans"
540,"je travaille seul","maître / maîtresse de conférences et assimilés","fonctionnaire ou assimilé",,"1992","Linux","jamais","jamais","souvent","jamais","jamais","jamais","jamais","jamais","jamais","souvent","souvent","jamais","jamais","jamais","souvent","jamais","jamais","souvent","jamais","parfois","jamais","jamais","jamais","souvent","souvent","jamais","jamais","jamais","rarement","par des collègues, des amis;par mon institution, mon entreprise","jamais","toujours","rarement","jamais","jamais","jamais","Je ne sais pas l'évaluer","parfois","oui",,,"non","souvent","souvent","jamais","souvent","jamais","souvent","jamais","souvent","ubuntu
libreoffice 
thunderbird
firefox","des logiciels libres et gratuits","jamais",,"jamais",,"jamais",,"rarement","toujours","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais",,"toujours","toujours","rarement","toujours","parfois","rarement","jamais","toujours","rarement","jamais","jamais","critères HCERES, FNGE, CNRS, CNU…;notoriété de la revue, de l'éditeur, du congrès dans ma discipline;diffusion en accès libre (imposé par mon institution, financeur)","jamais","jamais","jamais","souvent","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","non","souvent","jamais","jamais","souvent","jamais","jamais","jamais","jamais","jamais","jamais","jamais","souvent","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","oui","oui","oui","oui","oui","une femme","Lettres et Arts","56 à 60 ans"
541,"nous sommes entre 2 et 5 personnes","chercheur / chercheure dans le secteur privé (ingénieur R&D, consultant, expert, chef de projet)","en CDI",,"2015","Windows;MacOS","parfois","toujours","toujours","jamais","toujours","jamais","souvent","souvent","toujours","toujours","toujours","jamais","parfois","jamais","toujours","toujours","toujours","toujours","parfois","toujours","rarement","jamais","rarement","souvent","parfois","jamais","jamais","parfois","parfois","en cherchant par moi-même","parfois","parfois","rarement","rarement","jamais","parfois","Je ne sais pas l'évaluer","parfois","non",,,"non","parfois","souvent","jamais","parfois","souvent","toujours","rarement","rarement","Excel","des logiciels libres et gratuits;des logiciels gratuits avec des fonctionnalités premium;des logiciels issus d'un projet de recherche","rarement",,"souvent","Excel","parfois","Datavisualisation en ligne","jamais","toujours","souvent","jamais","jamais","jamais","jamais","toujours","toujours","rarement","Visio","souvent","souvent","rarement","souvent","rarement","parfois","rarement","souvent","parfois","parfois","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline","toujours","parfois","parfois","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","oui","non","non","souvent","jamais","rarement","toujours","toujours","souvent","toujours","jamais","jamais","jamais","jamais","parfois","jamais","non, je ne sais pas ce que c'est",,"oui","non","non","non","non","non",,,"un homme","Sciences humaines","46 à 50 ans"
542,"je travaille seul","doctorant / doctorante (y compris CIFRE)","contrat doctoral",,"2020","MacOS","rarement","rarement","souvent","jamais","parfois","jamais","parfois","parfois","toujours","toujours","souvent","jamais","parfois","jamais","parfois","parfois","toujours","toujours","souvent","souvent","jamais","jamais","parfois","parfois","rarement","jamais","jamais","toujours","jamais","par des collègues, des amis;par mon institution, mon entreprise;au cours d'une formation","jamais","toujours","rarement","jamais","jamais","parfois","Je ne sais pas l'évaluer","souvent","non",,,"non","jamais","jamais","jamais","toujours","jamais","toujours","jamais","toujours","Je ne comprends pas cette question (je suis en littérature, j'ai besoin de Word et Preview).","des logiciels libres et gratuits;des logiciels payants ""crackés""","jamais",,"jamais",,"jamais",,"parfois","toujours","rarement","jamais","jamais","jamais","jamais","toujours","rarement","jamais",,"souvent","parfois","rarement","parfois","jamais","jamais","jamais","jamais","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","non","jamais","jamais","rarement","jamais","jamais","parfois","jamais","jamais","jamais","jamais","jamais","souvent","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","oui","oui","oui","Oui","Je l'espère car au vu de ce que vous citez je connais très peu d'outils","un homme","Lettres et Arts","25 à 30 ans"
543,"nous sommes entre 2 et 5 personnes","maître / maîtresse de conférences et assimilés","fonctionnaire ou assimilé",,"2012","MacOS;Linux","jamais","souvent","souvent","jamais","toujours","rarement","parfois","parfois","toujours","toujours","souvent","jamais","toujours","rarement","parfois","parfois","toujours","souvent","souvent","souvent","jamais","jamais","parfois","souvent","jamais","jamais","souvent","toujours","rarement","par des collègues, des amis;par mon institution, mon entreprise;en cherchant par moi-même","souvent","rarement","jamais","jamais","jamais","jamais","de 1 GO (GB) à 20 GO(GB","rarement","non",,,"non","souvent","souvent","jamais","rarement","rarement","souvent","souvent","rarement","Python, R","des logiciels libres et gratuits","jamais",,"jamais",,"souvent","Python, R","jamais","jamais","jamais","souvent","rarement","jamais","rarement","toujours","jamais","jamais","librairie tikz (latex), matplotlib (python)","souvent","souvent","rarement","jamais","rarement","rarement","jamais","jamais","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;refus des revues prédatrices;diffusion en accès libre (choix personnel);transparence du processus d'évaluation","parfois","jamais","jamais","jamais","jamais","jamais","jamais","jamais","oui","non","non","non","oui","non","oui","non","non","toujours","jamais","jamais","toujours","jamais","jamais","jamais","jamais","jamais","jamais","jamais","toujours","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","oui","oui","oui","oui","oui, vers une plus grande collaboration à distance, voire des moyens de valorisation des résultats (conférence) à distance. J'aimerais aussi tendre vers une diffusion des résultats scientifiques en libre accès.","une femme","Mathématiques, Informatiques","31 à 35 ans"
544,"je travaille seul","doctorant / doctorante (y compris CIFRE)","fonctionnaire ou assimilé",,"2018","Windows","rarement","parfois","rarement","jamais","jamais","jamais","rarement","jamais","jamais","parfois","jamais","jamais","jamais","jamais","jamais","jamais","jamais","parfois","toujours","jamais","jamais","jamais","parfois","parfois","toujours","jamais","jamais","jamais","souvent","par des collègues, des amis;au cours d'une formation;en cherchant par moi-même","parfois","toujours","parfois","jamais","jamais","jamais","de 1 GO (GB) à 20(GB)","parfois","oui","Dropbox","dropBox","non","rarement","jamais","jamais","rarement","jamais","toujours","jamais","toujours","Libreoffice
Prezi","des logiciels libres et gratuits;des logiciels payants","jamais",,"jamais",,"toujours","Adobe acrobate reader","jamais","toujours","rarement","jamais","jamais","jamais","jamais","jamais","jamais","jamais",,"parfois","parfois","jamais","rarement","rarement","jamais","rarement","rarement","rarement","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;diffusion en accès libre (choix personnel);diffusion en accès libre (imposé par mon institution, financeur);critères HCERES, FNGE, CNRS, CNU…","jamais","rarement","jamais","rarement","rarement","jamais","jamais","jamais","non","non","non","non","non","non","non","non","non","jamais","jamais","rarement","jamais","jamais","rarement","rarement","parfois","jamais","jamais","jamais","souvent","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","non","oui","oui","Oui","Non","un homme","Lettres et Arts","31 à 35 ans"
545,"nous sommes entre 2 et 5 personnes","ingénieur / ingénieure d'études","fonctionnaire ou assimilé",,"1999","Windows","rarement","rarement","souvent","jamais","parfois","jamais","parfois","parfois","jamais","souvent","souvent","jamais","parfois","jamais","souvent","souvent","jamais","parfois","souvent","souvent","jamais","jamais","rarement","rarement","jamais","jamais","jamais","rarement","rarement","par mon institution, mon entreprise;en cherchant par moi-même","souvent","souvent","souvent","rarement","rarement","rarement","de 1 GO (GB) à 20(GB)","parfois","non",,,"non","parfois","souvent","jamais","parfois","souvent","parfois","parfois","parfois","office, matlab, logiciels spécifiques équipement scientifique","des logiciels payants;des logiciels internes à mon organisation","jamais",,"jamais",,"souvent","excel, matlab","parfois","toujours","parfois","jamais","jamais","jamais","jamais","jamais","souvent","jamais","excel, power point, paint...","souvent","souvent","rarement","rarement","jamais","souvent","jamais","jamais","rarement","jamais","rarement","indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);frais de publications (Article Processing Charges);notoriété de la revue, de l'éditeur, du congrès dans ma discipline","jamais","jamais","jamais","rarement","jamais","jamais","jamais","jamais","oui","non","non","non","non","non","oui","non","oui","souvent","jamais","rarement","parfois","jamais","parfois","jamais","jamais","jamais","jamais","rarement","parfois","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","oui","oui","oui","oui","certainement","je ne souhaite pas répondre","Chimie, Matériaux","46 à 50 ans"
546,"nous sommes entre 2 et 5 personnes","maître / maîtresse de conférences et assimilés","fonctionnaire ou assimilé",,"1999","Windows;Linux","parfois","parfois","parfois","jamais","rarement","rarement","souvent","parfois","rarement","souvent","souvent","jamais","parfois","rarement","souvent","parfois","rarement","souvent","parfois","parfois","jamais","jamais","parfois","parfois","rarement","jamais","jamais","parfois","rarement","par des collègues, des amis;par mon institution, mon entreprise;par une veille sur ces questions","souvent","souvent","souvent","parfois","parfois","rarement","de 100 GO (GB) à 1 TO (TB)","souvent","oui","disques durs externes, onedrive","DD externe;OneDrive","non","souvent","jamais","jamais","parfois","souvent","souvent","souvent","parfois","pack office
fiji","des logiciels payants;des logiciels libres et gratuits;des logiciels gratuits avec des fonctionnalités premium;des logiciels partiellement ou complètement gratuits mais propriétaires;des logiciels internes à mon organisation","jamais",,"souvent","pack office
fiji","parfois","applications web","jamais","souvent","rarement","jamais","jamais","jamais","jamais","parfois","souvent","parfois",,"parfois","souvent","jamais","rarement","rarement","rarement","rarement","rarement","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);frais de publications (Article Processing Charges);transparence du processus d'évaluation","rarement","jamais","jamais","rarement","jamais","jamais","rarement","jamais","non","non","non","non","non","non","non","non","oui","rarement","jamais","souvent","rarement","rarement","souvent","jamais","jamais","jamais","jamais","jamais","souvent","jamais","oui, j'en ai entendu parler","pre-registering (PLOS, OSF, AsPredicted...);outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","oui","oui","oui","oui","oui","oui","oui","un homme","Sciences du vivant","46 à 50 ans"
